AFWPLXT2OD6H1,0439715571,4.0
AFWPLXT2OD6H1,B00009MQHU,4.0
AFWPLXT2OD6H1,B0002AL28W,5.0
AFWPLXT2OD6H1,B0002FGFJ8,4.0
AFWPLXT2OD6H1,B000696SJC,4.0
AFWPLXT2OD6H1,B0006HUH00,5.0
AFWPLXT2OD6H1,B00077RH3O,4.0
AFWPLXT2OD6H1,B00092CJLM,4.0
AFWPLXT2OD6H1,B0009G0G8Q,5.0
AFWPLXT2OD6H1,B0009WH7E6,4.0
AFWPLXT2OD6H1,B000A3XRS4,4.0
AFWPLXT2OD6H1,B000F5IA7A,4.0
AFWPLXT2OD6H1,B000J165AO,4.0
AFWPLXT2OD6H1,B000KIF890,4.0
AFWPLXT2OD6H1,B000MSKQNQ,4.0
AFWPLXT2OD6H1,B000NKPFCK,4.0
AFWPLXT2OD6H1,B000VPRAFM,4.0
AFWPLXT2OD6H1,B001AH1CX6,4.0
AFWPLXT2OD6H1,B001F0OOF6,4.0
AFWPLXT2OD6H1,B002ABZE8U,4.0
AFWPLXT2OD6H1,B0030MOXA8,4.0
AFWPLXT2OD6H1,B004JQDJ8G,4.0
AFWPLXT2OD6H1,B007QYZ0SA,4.0
AFWPLXT2OD6H1,B00AUV7WAK,4.0
A1P478YKNZYVXE,0439715571,4.0
A1P478YKNZYVXE,B00004YRQA,5.0
A1P478YKNZYVXE,B0000696CZ,5.0
A1P478YKNZYVXE,B0000A92KX,4.0
A1P478YKNZYVXE,B0000D12XI,5.0
A1P478YKNZYVXE,B0002719LK,4.0
A1P478YKNZYVXE,B0002FGFIE,4.0
A1P478YKNZYVXE,B000820Y42,4.0
A1P478YKNZYVXE,B0009W8QQE,4.0
A1P478YKNZYVXE,B000BD1AFA,5.0
A1P478YKNZYVXE,B000BO8CHS,4.0
A1P478YKNZYVXE,B000F0GX8I,4.0
A1P478YKNZYVXE,B000FDMV54,5.0
A1P478YKNZYVXE,B000GA73O0,5.0
A1P478YKNZYVXE,B000GJX6ZG,4.0
A1P478YKNZYVXE,B000HKP88C,4.0
A1P478YKNZYVXE,B000JLIXIG,5.0
A1P478YKNZYVXE,B000K1CS5Y,4.0
A1P478YKNZYVXE,B000NV8F58,4.0
A1P478YKNZYVXE,B000XGJH1O,4.0
A1P478YKNZYVXE,B0015AARJI,5.0
A1P478YKNZYVXE,B002DC8GM2,5.0
A1P478YKNZYVXE,B003VUO6H4,5.0
A1P478YKNZYVXE,B00420K18K,5.0
A1P478YKNZYVXE,B007FTE33E,4.0
A34UGG0WDKRTQF,0439900581,5.0
